"","usertype","from_station_name","row_count","avg_trip_duration","max_trip_duration","min_trip_duration","mode_day_of_week","mode_bike_type"
"1","casual","Streeter Dr & Grand Ave",78838,36.0321093043118,1393.03333333333,1,"Saturday","classic_bike"
"2","casual","DuSable Lake Shore Dr & Monroe St",45948,35.9785910159311,1427.8,1,"Saturday","classic_bike"
"3","casual","Michigan Ave & Oak St",35540,36.6492984430688,1281,1,"Saturday","classic_bike"
"4","casual","Millennium Park",34379,39.847051979406,1376.48333333333,1,"Saturday","classic_bike"
"5","casual","DuSable Lake Shore Dr & North Blvd",33088,28.9580598202772,1302.06666666667,1,"Saturday","classic_bike"
"6","casual","Shedd Aquarium",28243,30.160790874435,1385.63333333333,1,"Saturday","classic_bike"
"7","casual","Theater on the Lake",26126,30.4328255377785,1436.95,1,"Saturday","classic_bike"
"8","casual","Wells St & Concord Ln",21046,17.7954646963794,1412.78333333333,1,"Saturday","classic_bike"
"9","casual","Dusable Harbor",20962,35.56156696244,1368.3,1,"Saturday","classic_bike"
"10","casual","Indiana Ave & Roosevelt Rd",18681,32.1788278643185,1356.28333333333,1,"Saturday","classic_bike"
"11","casual","Clark St & Armitage Ave",18418,23.1712364715677,1397.11666666667,1,"Saturday","classic_bike"
"12","casual","Montrose Harbor",17977,36.0342391203575,1437.9,1,"Saturday","classic_bike"
"13","casual","Clark St & Lincoln Ave",17970,22.5761639769987,1403.43333333333,1,"Saturday","classic_bike"
"14","casual","Clark St & Elm St",17268,18.1335186472087,1356.91666666667,1,"Saturday","classic_bike"
"15","casual","Adler Planetarium",16773,33.7098849341203,1303.6,1,"Saturday","classic_bike"
"16","casual","Wells St & Elm St",16334,15.7496275662218,1279.36666666667,1,"Saturday","classic_bike"
"17","casual","Michigan Ave & 8th St",15431,32.7730618020003,1337.4,1,"Saturday","classic_bike"
"18","casual","Clark St & Newport St",15391,17.423192125268,1131.51666666667,1,"Saturday","classic_bike"
"19","casual","Wabash Ave & Grand Ave",15348,28.6587264355834,1360.05,1,"Saturday","classic_bike"
"20","casual","Wilton Ave & Belmont Ave",15239,17.5736815626572,1385.98333333333,1,"Saturday","classic_bike"
"21","casual","Broadway & Barry Ave",15232,19.839631477591,1268.36666666667,1,"Saturday","classic_bike"
"22","casual","Michigan Ave & Washington St",14845,33.9373537667003,1351.21666666667,1,"Saturday","classic_bike"
"23","casual","New St & Illinois St",14508,31.9999345188861,1439.36666666667,1,"Saturday","classic_bike"
"24","casual","DuSable Lake Shore Dr & Diversey Pkwy",14425,28.5420196418255,1424.95,1,"Saturday","classic_bike"
"25","casual","LaSalle St & Illinois St",14304,22.6073662378822,1396.13333333333,1,"Saturday","classic_bike"
"26","casual","DuSable Lake Shore Dr & Belmont Ave",14031,30.1251609531276,1435.76666666667,1,"Saturday","classic_bike"
"27","casual","Clark St & Wrightwood Ave",13713,17.2146005007414,1158.13333333333,1,"Saturday","classic_bike"
"28","casual","Michigan Ave & Lake St",13564,31.7159773419837,1435.6,1,"Saturday","classic_bike"
"29","casual","Larrabee St & Webster Ave",13557,17.0938088564333,1353.71666666667,1,"Saturday","classic_bike"
"30","casual","Lakeview Ave & Fullerton Pkwy",13500,23.8747580246914,1325.06666666667,1.01666666666667,"Saturday","classic_bike"
"31","casual","McClurg Ct & Ohio St",13477,32.6566359971309,1307.66666666667,1,"Saturday","classic_bike"
"32","casual","Sheffield Ave & Waveland Ave",12824,21.5439241526305,1245.45,1,"Saturday","electric_bike"
"33","casual","Wells St & Evergreen Ave",12718,16.3793232688578,1133,1,"Saturday","classic_bike"
"34","casual","Wells St & Huron St",12650,16.1253873517787,1218.71666666667,1,"Saturday","classic_bike"
"35","casual","DuSable Lake Shore Dr & Wellington Ave",12572,29.1879215717467,1361.38333333333,1,"Saturday","classic_bike"
"36","casual","Kingsbury St & Kinzie St",12365,14.9192613559779,1224.51666666667,1,"Saturday","classic_bike"
"37","casual","Halsted St & Roscoe St",12282,18.7872699886012,1347.45,1,"Saturday","classic_bike"
"38","casual","Dearborn St & Erie St",12219,21.6518413945495,1317.96666666667,1,"Saturday","classic_bike"
"39","casual","Sheffield Ave & Fullerton Ave",12044,14.8838868592937,1172.23333333333,1,"Saturday","classic_bike"
"40","casual","Clark St & Drummond Pl",11656,19.4733470601693,1401.48333333333,1,"Saturday","classic_bike"
"41","casual","Wells St & Hubbard St",11646,18.4392681321198,1312.4,1,"Saturday","classic_bike"
"42","casual","Lincoln Ave & Fullerton Ave",11622,16.7330178397292,1174.88333333333,1,"Saturday","classic_bike"
"43","casual","Damen Ave & Pierce Ave",11609,19.9180951560571,1346.73333333333,1,"Saturday","classic_bike"
"44","casual","Ashland Ave & Division St",11515,18.2601534230714,1385.86666666667,1,"Saturday","classic_bike"
"45","casual","Southport Ave & Roscoe St",11143,17.9106673846062,1340.98333333333,1,"Saturday","classic_bike"
"46","casual","Halsted St & Wrightwood Ave",11131,14.8783457610877,1436.91666666667,1,"Saturday","classic_bike"
"47","casual","Michigan Ave & Jackson Blvd",11104,37.1976690081652,1381.56666666667,1,"Saturday","classic_bike"
"48","casual","Broadway & Cornelia Ave",11090,21.5729906822964,1356.86666666667,1,"Saturday","classic_bike"
"49","casual","Field Museum",11051,30.0797273248273,1388.53333333333,1,"Saturday","classic_bike"
"50","casual","Wabash Ave & Roosevelt Rd",11002,25.7202039023208,1318.43333333333,1,"Saturday","classic_bike"
"51","member","Kingsbury St & Kinzie St",36297,9.18586063127348,1342.03333333333,1,"Tuesday","classic_bike"
"52","member","Clark St & Elm St",32665,11.7116720240829,1038.43333333333,1,"Tuesday","classic_bike"
"53","member","Clinton St & Washington Blvd",31067,10.8942398686709,979.383333333333,1,"Tuesday","classic_bike"
"54","member","Wells St & Concord Ln",29964,11.6104886975482,1421.2,1,"Saturday","classic_bike"
"55","member","University Ave & 57th St",27234,8.01649164035152,1429.4,1,"Monday","classic_bike"
"56","member","Clinton St & Madison St",27208,10.5590059296285,903.883333333333,1,"Tuesday","classic_bike"
"57","member","Wells St & Elm St",27111,10.5303413128742,1417.05,1,"Thursday","classic_bike"
"58","member","Loomis St & Lexington St",27051,9.32667184207608,1370.56666666667,1,"Wednesday","classic_bike"
"59","member","Ellis Ave & 60th St",26614,6.88208837453972,1209.78333333333,1,"Monday","classic_bike"
"60","member","Streeter Dr & Grand Ave",24950,20.7956165664663,1150.86666666667,1,"Saturday","classic_bike"
"61","member","Broadway & Barry Ave",24749,12.7302342182176,1329.65,1,"Saturday","classic_bike"
"62","member","Canal St & Adams St",24135,11.9955817968372,925.266666666667,1,"Tuesday","classic_bike"
"63","member","Dearborn St & Erie St",23728,11.7054562823106,1337.38333333333,1,"Wednesday","classic_bike"
"64","member","DuSable Lake Shore Dr & North Blvd",23491,18.120600087977,999.833333333333,1,"Saturday","classic_bike"
"65","member","Wells St & Huron St",23241,9.86409721325818,940.733333333333,1,"Wednesday","classic_bike"
"66","member","St. Clair St & Erie St",23222,13.4592326242356,1107.66666666667,1,"Tuesday","classic_bike"
"67","member","Wabash Ave & Grand Ave",22443,13.2190779604628,1303.9,1,"Tuesday","classic_bike"
"68","member","Wells St & Hubbard St",22294,10.5509628898657,896.833333333333,1,"Thursday","classic_bike"
"69","member","Wilton Ave & Belmont Ave",21909,10.9619129125017,1089.6,1,"Saturday","classic_bike"
"70","member","Clark St & Armitage Ave",21901,12.7974917431472,831.566666666667,1,"Saturday","classic_bike"
"71","member","Clinton St & Jackson Blvd",21794,11.0701194518369,895.716666666667,1,"Wednesday","classic_bike"
"72","member","Clark St & Wrightwood Ave",21513,11.8551503741923,971.416666666667,1,"Saturday","classic_bike"
"73","member","Sheffield Ave & Fullerton Ave",21487,9.71423108546253,949.933333333333,1,"Tuesday","classic_bike"
"74","member","Theater on the Lake",21320,20.472314727955,1343.31666666667,1,"Saturday","classic_bike"
"75","member","Michigan Ave & Oak St",21041,19.8170445004198,1431.86666666667,1,"Saturday","classic_bike"
"76","member","Green St & Madison St",20964,11.3702927240349,850.683333333333,1,"Tuesday","classic_bike"
"77","member","Larrabee St & Kingsbury St",20941,9.57128440220938,1420.3,1,"Tuesday","classic_bike"
"78","member","Desplaines St & Kinzie St",20643,9.50998078444671,1027.71666666667,1,"Tuesday","classic_bike"
"79","member","State St & Chicago Ave",20593,12.3036743877369,1411.81666666667,1,"Tuesday","classic_bike"
"80","member","Ellis Ave & 55th St",20199,7.20340445896662,1134.51666666667,1,"Tuesday","classic_bike"
"81","member","Dearborn Pkwy & Delaware Pl",20183,11.936699202299,1012.91666666667,1,"Tuesday","classic_bike"
"82","member","Indiana Ave & Roosevelt Rd",20042,14.8318689086252,1375.18333333333,1,"Wednesday","classic_bike"
"83","member","Ashland Ave & Division St",20011,12.3563789915546,1436.33333333333,1,"Wednesday","classic_bike"
"84","member","Broadway & Waveland Ave",19846,11.2934084114347,1341.05,1,"Thursday","classic_bike"
"85","member","Clark St & Lincoln Ave",19837,13.1030910251886,1340.7,1,"Saturday","classic_bike"
"86","member","Morgan St & Polk St",19466,8.54380886331724,1090.1,1,"Wednesday","classic_bike"
"87","member","Halsted St & Clybourn Ave",19400,12.1927895189003,1300.1,1,"Thursday","classic_bike"
"88","member","Halsted St & Polk St",19248,9.33407799944583,1348.05,1,"Tuesday","classic_bike"
"89","member","Clark St & Drummond Pl",19089,12.2946539892084,1221.65,1,"Saturday","classic_bike"
"90","member","Wabash Ave & Roosevelt Rd",19007,11.7220743234949,1353.13333333333,1.01666666666667,"Tuesday","classic_bike"
"91","member","LaSalle St & Illinois St",18801,12.4116297005478,1191.15,1,"Thursday","classic_bike"
"92","member","Dearborn St & Monroe St",18536,11.5465382678751,1435.46666666667,1,"Tuesday","classic_bike"
"93","member","Kingsbury St & Erie St",18534,8.81390867234992,1067.65,1,"Wednesday","classic_bike"
"94","member","Michigan Ave & Washington St",18495,13.1625889880148,1140.95,1,"Tuesday","classic_bike"
"95","member","Clinton St & Lake St",18494,9.77586965141848,1118.18333333333,1,"Tuesday","classic_bike"
"96","member","State St & 33rd St",18228,9.06560602735718,1012.2,1,"Thursday","classic_bike"
"97","member","Broadway & Cornelia Ave",18222,12.0573089305967,1116.93333333333,1,"Saturday","classic_bike"
"98","member","Peoria St & Jackson Blvd",18150,10.7793966942149,1308.4,1,"Tuesday","classic_bike"
"99","member","Lincoln Ave & Fullerton Ave",18131,11.9070018200871,1371.8,1,"Wednesday","classic_bike"
"100","member","Michigan Ave & Lake St",17820,12.680019640853,1137.01666666667,1,"Thursday","classic_bike"
