"","usertype","row_count","avg_trip_duration","max_trip_duration","min_trip_duration","mode_bike_type","mode_day_of_week"
"1","casual",2576677,23.9324086216472,1439.36666666667,1,"classic_bike","Saturday"
"2","member",4056201,12.5643068929112,1436.33333333333,1,"classic_bike","Thursday"
